id,name,instructions,videoUrl,image,muscleGroups,generalMuscleGroups,injuryRisks,category,isTimed,difficulty,caloriesPerMinute,setsRange,repsRange,restTimeSeconds,exerciseType,movementPattern,specificEquipment,targetIntensity,workoutPhase,recommendedDurationSeconds,minimumEquipmentAlternative,genderAdjustment,pairWith
rest,Rest,"Take a rest day to recover. Focus on light stretching, hydration, and mobility work if desired. Avoid intense physical activity to allow your muscles to repair and grow stronger.",,assets/images/incline_barbell_press.jpg,,,Rest,Rest,FALSE,Beginner,0,0,0,0,Rest,Rest,None,Low,Rest,,,None,04
smith_machine_shoulder_press,Smith Machine Shoulder Press,"Set up a bench in the Smith machine with a vertical backrest. Sit upright, feet flat on the floor, and grasp the bar with an overhand grip, hands slightly wider than shoulder-width, just above your shoulders. Unhook the bar by rotating your wrists. Inhale to brace your core, then exhale as you press the bar overhead until your arms are fully extended but not locked out. Keep your head facing forward and avoid arching your back. Inhale as you lower the bar back to the starting position, stopping just above your shoulders. Maintain control throughout the movement to avoid bouncing the bar.",,,Front Shoulder;Mid Shoulder,Shoulders,Shoulders,Gym,FALSE,Intermediate,6,03-04,08-12,60,Compound,Push,Smith Machine,Moderate,Main,,seated_dumbbell_shoulder_press,More Upper Body for Men,seated_cable_row
reverse_snow_angels,Reverse Snow Angels,"Lie face down on a mat with your arms at your sides, holding light dumbbells in each hand, palms facing up. Engage your core and squeeze your glutes to stabilize your body. Keep your legs on the ground and your neck in a neutral position. Exhale as you slowly lift your chest and arms off the ground, keeping your arms straight. Move your arms out to the sides to form a T-shape with your body, then continue upward to form a Y-shape overhead. As you move, rotate your shoulders so your palms face down at the top of the movement. Inhale as you reverse the motion, bringing your arms back to your sides, then lower your chest and arms to the starting position. Avoid shrugging your shoulders or overarching your lower back.",,,Upper Back;Mid Back;Rear Shoulder,Back;Shoulders,Shoulders,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Dumbbells,Moderate,Accessory,,superman_hold,More Upper Body for Men,chest_dumbbell_pullover
close_grip_ez_bar_curl,Close Grip EZ Bar Curl,"Stand with your feet shoulder-width apart, knees slightly bent for stability. Grasp an EZ bar with a close underhand grip (hands closer than shoulder-width), arms fully extended, and the bar resting against your thighs. Keep your torso upright, shoulders back, and elbows tucked into your sides. Exhale as you curl the bar toward your chest, focusing on contracting your biceps and keeping your elbows stationary. Pause briefly at the top, squeezing your biceps, then inhale as you slowly lower the bar back to the starting position. Avoid swinging your body or letting your elbows flare out.",,,Short Head Biceps,Arms,Elbows,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,EZ Bar,Moderate,Accessory,,bicep_dumbbell_curls,Lighter Weight for Women,overhead_rope_extension
ez_bar_curl,EZ Bar Curl,"Stand tall with your feet shoulder-width apart, holding an EZ bar with an underhand grip, hands shoulder-width apart. Let the bar rest against your thighs, keeping your elbows tucked into your sides and your torso stationary. Exhale as you curl the bar up toward your chest, focusing on squeezing your biceps at the top of the movement. Keep your wrists straight and avoid using momentum by swinging your body. Inhale as you slowly lower the bar back to the starting position, maintaining tension in your biceps. Do not let the bar rest on your thighs at the bottom.",,assets/images/ez_bar_curl.jpg,Long Head Biceps;Short Head Biceps,Arms,Elbows,Gym,FALSE,Intermediate,5,03-,08-12,60,Accessory,Pull,EZ Bar,Moderate,Accessory,,bicep_dumbbell_curls,Lighter Weight for Women,skullcrushers
cable_flies,Cable Flies,"Set the cable machine pulleys to chest height. Stand in the center, grabbing a handle in each hand with an overhand grip. Step forward into a staggered stance (one foot slightly ahead), keeping a slight bend in your elbows. Engage your core and maintain a slight forward lean. Exhale as you squeeze your chest muscles and bring the handles together in front of your chest, arms forming a wide arc. Pause briefly when the handles meet, then inhale as you slowly return to the starting position, keeping the movement controlled. Avoid letting your shoulders shrug or your back arch excessively.",,,Mid Chest,Chest,Shoulders,Gym,FALSE,Intermediate,6,03-04,08-12,60,Accessory,Push,Cable,Moderate,Main,,dumbbell_fly,More Upper Body for Men,seated_cable_row
seated_tricep_extension,Seated Tricep Extension,"Set an adjustable bench to a 90-degree angle and sit upright, feet flat on the floor. Hold a dumbbell with both hands by gripping the handle, palms facing up, and lift it overhead so your arms are fully extended. Keep your core engaged and elbows close to your head, pointing forward. Inhale as you slowly lower the dumbbell behind your head by bending your elbows, keeping your upper arms stationary. Lower until your forearms are parallel to the ground or just below. Exhale as you extend your arms back to the starting position, fully contracting your triceps. Avoid flaring your elbows out or arching your back.",,,Long Head Triceps;Lateral Head Triceps;Medial Head Triceps,Arms,Shoulders,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Push,Dumbbells,Moderate,Accessory,,overhead_dumbbell_extension,More Upper Body for Men,incline_dumbbell_curl
back_dumbbell_pullover,Back Dumbbell Pullover,"Lie perpendicular on a flat bench with only your upper back and shoulders on the bench, feet flat on the floor, and hips lowered toward the ground. Hold a dumbbell with both hands above your chest, gripping the handle, palms facing up, with a slight bend in your elbows. Engage your core to keep your hips stable. Inhale as you slowly lower the dumbbell back over your head in an arc, feeling a stretch in your lats and upper back. Lower until your arms are parallel to the floor, then exhale as you pull the dumbbell back to the starting position, squeezing your lats. Keep your hips steady and avoid overarching your lower back.",,assets/images/dumbbell_pullover.jpg,Lats;Upper Back,Back,Shoulders,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Pull,Dumbbells,Moderate,Main,,dumbbell_pullover,More Upper Body for Men,flat_dumbbell_press
chest_dumbbell_pullover,Chest Dumbbell Pullover,"Lie flat on a bench with your feet planted on the ground. Hold a dumbbell with both hands above your chest, gripping the handle, palms facing each other, and elbows slightly bent. Engage your core and keep your back flat against the bench. Inhale as you slowly lower the dumbbell back over your head in a controlled arc, keeping your arms stable and feeling a stretch in your chest. Lower until the dumbbell is parallel to the floor, then exhale as you return to the starting position, squeezing your chest at the top. Avoid letting your lower back arch or your elbows flare out excessively.",,,Mid Chest,Chest,Shoulders,dumbbells,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Push,Dumbbells,Moderate,Main,,dumbbell_fly,More Upper Body for Men,reverse_snow_angels
smith_machine_calve_raises,Smith Machine Calve Raises,"Place a weight plate or sturdy step in the center of the Smith machine, ensuring it’s stable. Step onto the plate with the balls of your feet, keeping your heels off the edge, and position the Smith bar across your upper back as you would for a back squat. Unrack the bar by rotating your wrists, keeping your legs straight but not locked. Inhale as you lower your heels toward the floor, feeling a stretch in your calves. Exhale as you press through the balls of your feet, raising your heels as high as possible and squeezing your calves at the top. Pause briefly, then lower back down with control. Ensure the bar stays balanced and avoid bouncing at the bottom.",,,Calves,Legs,Ankles,Gym,FALSE,Intermediate,5,03-04,08-12,60,Accessory,Other,Smith Machine,Moderate,Accessory,,standing_calf_raises,None,
