id,name,instructions,videoUrl,image,muscleGroups,generalMuscleGroups,injuryRisks,category,isTimed,difficulty,caloriesPerMinute
rest_sets_0_reps_0,rest_sets_0_reps_0,Rest day - take it easy!,,,,,,Rest,false,Beginner,0
smith_machine_shoulder_press,Smith Machine Shoulder Press,"Sit on a bench that has a vertical backrest while in an upright position, holding the bar with an overhand grip wider than shoulder-width just above the level of your shoulders. Rotate your wrists to unhook the bar. Exhale and press the bar overhead, extending your arms while keeping your head faced forward.",,,Front Shoulder;Mid Shoulder,Shoulders,Shoulders,Gym,false,Intermediate,6
reverse_snow_angels,Reverse Snow Angels,"Lie face down on a mat with arms at your sides, palms facing up. Engage your core and squeeze your glutes to stabilize your body. Slowly lift your chest and arms off the ground, keeping your legs down. Move your arms out to the sides, forming a T-shape with your body. Continue the motion, bringing your arms overhead to form a Y-shape. As you move your arms, rotate your shoulders so your palms face down at the top of the movement.Reverse the movement, bringing your arms back down to your sides.Lower your chest and arms to the starting position.",,,Upper Back;Mid Back;Rear Shoulder,Back;Shoulders,Shoulders,dumbbells,false,Intermediate,5
close_grip_ez_bar_curl,Close Grip EZ bar Curl,"Stand straight and be comfortable. Place your feet shoulder-width apart, with your knees slightly bent. Keep your torso straight and tight, and grab the EZ bar using a close underhand grip with your arms extended. Raise the EZ bar towards your chest while keeping your elbows perfectly straight.",,,Short Head Biceps,Arms,Elbows,Gym,false,Intermediate,5
ez_bar_curl,EZ Bar Curl,"Keeping your eyes facing forward, elbows tucked in at your sides, and your body completely still, slowly curl the bar up. Squeeze your biceps hard at the top of the movement, and then slowly lower it back to the starting position. The bar should not be touching your body.",,assets/images/ez_bar_curl.jpg,Long Head Biceps;Short Head Biceps,Arms,Elbows,Gym,false,Intermediate,5
cable_flies,Cable Flies,"Set the cables at chest height then face away from the machine and grip both handles, step forward into a staggered stance. Squeeze the chest muscles and press your arms forward until the handles meet back in front of the chest",,,Mid Chest,Chest,Shoulders,Gym,false,Intermediate,6
seated_tricep_extension,Seated Tricep Extension,"Position an adjustable bench at 90 degrees. To get into position, sit in an upright position and lift the dumbbell to the top of your shoulder. Take a deep breath, overlap your hands around the dumbbell, then press it into position overhead. Maintain an overlapping grip and slowly lower the dumbbell behind your head by unlocking your elbows.Once your forearms reach parallel or just below, drive the dumbbell back to the starting point by extending the elbows and flexing the triceps.",,,Long Head Triceps;Lateral Head Triceps;Medial Head Triceps,Arms,Shoulders,dumbbells,false,Intermediate,5
back_dumbbell_pullover,Back Dumbbell Pullover,"Lie on a bench with a dumbbell over your chest, elbows slightly bent. Lower the weight behind your head while keeping body flat and feel your upper back muscles stretching, then pull back to start.",,assets/images/dumbbell_pullover.jpg,Lats;Upper Back,Back,Shoulders,dumbbells,false,Intermediate,5
chest_dumbbell_pullover,Chest Dumbbell Pullover,"Extend your arms toward the ceiling, over your chest. Your palms should face each other, and your elbows should be slightly bent. Inhale and extend the weights back and over your head, keeping a strong back and core. take about 3 to 4 seconds to reach a fully extended position where the dumbbell is parallel to your head. Exhale slowly and return your arms to the starting position",,,Mid Chest,Chest,Shoulders,dumbbells,false,Intermediate,5
smith_machine_calve_raises,Smith Machine Calve Raises,"Find a weight plate that is large enough for you to step on. A 45 lb plate is perfect. If you have a sturdy step-up, then use that. If you don’t trust your step, or think that your step is too light for this lift, then a weight plate is your safest option.Place the weight plate in the center of the barbell, on the interior part of the Smith Machine. The edge of the plate should meet the barbell. You want the weight plate to be in front of the barbell but also centered in the middle of the barbell.Load your barbell up with your desired weight. If you leave the barbell weightless or too light, then the Smith Machine calf raise can backfire on you. If when you start this lift, it feels bouncy and disengaging, or the barbell is bouncing off of your back, then you probably need to add more weight.Place the barbell on your back as if you were doing a barbell back squat, and step up with the top 1/3 of your foot on the plate. Once you are in the starting position and feel like you can comfortably push the barbell up with the balls of your feet, you are ready to begin your set.With a straight leg, push off with the balls of your feet, and unlatch the barbell from the Smith Machine by gripping the bar and rotating your wrists slightly backward.Let your heel drop down until it hits the floor. Push back up with the balls of your feet.Squeeze your upper calf on the way up to facilitate proper gastrocnemius engagement.",,,Calves,Legs,Ankles,Gym,false,Intermediate,5
skullcrushers,Skullcrushers,"Your upper arm should be just past 90 degrees, at a 91 or 92 degree angle. Keep your wrists strong and a tight grip on the bar. Lower the weight slowly down to an inch above your forehead, moving only at the elbows. Don't allow your shoulders to shift forward; keep your upper arms still.",,,Long Head Triceps;Medial Head Triceps,Arms,Elbows,Gym,false,Intermediate,5
powerlifting_squat,Powerlifting Squat,"Place the barbell in a high or low bar position below the prominent bone at the base of your neck (the seventh cervical vertebra). Ensure the bar rests evenly across your upper back and traps. Keep your chest up and shoulders back to create a solid shelf for the bar to rest on. Set your squat stance with feet in a slightly wider stance than shoulder-width point toes outward at approximately 15-30 degrees, Ensure both feet are evenly spaced from center. Align knees to track in the same direction as toes, keep knees stable (avoid letting them cave inward). Pull shoulder blades back and down, keep chest lifted, stack ribs over hips and maintain the natural curve in the lower back (neutral spine). Take a deep breath into your belly, brace abdominal and back muscles like preparing for a punch and maintain this tension throughout the movement and begin to squat",,,Quads;Hamstrings;Glutes,Legs;Glutes,Knees;Lower Back,Gym,false,Advanced,7
cardio,Cardio,"Variation of cardio, such as running, cycling, swimming, rowing, elliptical, etc.",,assets/images/flat_dumbbell_press.jpg,Full Body,Full Body,,Cardio,false,Intermediate,10
overhead_rope_extension,Overhead Rope Extension,Attach a rope to the bottom pulley of a pulley machine.Step 2: Hold onto the rope with both hands and extend your arms with your hands directly over your head with your palms facing each other. Hold your elbows in close to your head and keep your arms perpendicular to the ceiling with your knuckles pointed toward the ceiling. This is the starting position.Step 3: Lower the rope behind your head slowly as you hold your upper arms still. Inhale as you do so and pause when your triceps are fully extended.Step 4: Go back to the starting position by flexing your triceps. Exhale as you do so.,,,Long Head Triceps;Medial Head Triceps,Arms,Elbows,Gym,false,Intermediate,5
seated_shoulder_press,Seated Shoulder Press,"Set up an adjustable angle bench to 90 degrees and select the desired weight from the rack.Pick up the dumbbells from the floor using a neutral grip (palms facing in). Position the end of the dumbbells on your knees and sit down on the bench.Using a safe and controlled motion, kick your knees up one at a time in order to get each dumbbell into place.Once the dumbbells are in place, rotate your palms so they are facing forward.Take a deep breath then press the dumbbells overhead by extending the elbows and contracting the deltoids.Slowly lower the dumbbells back to the starting position (the arms should be roughly 90 degrees or slightly lower depending upon limb lengths).",,,Front Shoulder;Mid Shoulder,Shoulders,Shoulders,dumbbells,false,Intermediate,6
close_grip_lat_pull_down,Close Grip Lat Pull Down,"Set seat at a comfortable height. Grab the handle, using a neutral grip if it's a V-handle or underhand grip for the more standard wide bar. Focus on keeping your feet planted into the ground, core tight, and maintain a tight grip on the bar. Lean back slightly—do not arch your back for this—then, squeezing your shoulder blades, drive them down as you pull. Remember to drive your elbows down as well as you pull the bar to the top of your chest. Hold momentarily at the bottom, then return to start position under control.",,,Lats;Mid Back,Back,Shoulders,Gym,false,Intermediate,6
